Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/6/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA6MUG4AFZSR6,18.88,debit,Shopping,Discover,,
8/6/17,Berkeley Bowl Markesbe,BERKELEY BOWL MARKESBE BERKELEY CA,8.18,debit,Food,Discover,,
8/6/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAA2MP2Q3C8P2,19.21,debit,Shopping,Discover,,
8/1/17,Amazon,AMAZON.COM AMZN.COM/BILLWA2C3F47B7Y7W,29.88,debit,Shopping,Discover,,
7/30/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA54G46EP413C,37.66,debit,Shopping,Discover,,
7/29/17,Northside Cafe,SQ *NORTHSIDE CAFE BERKELEY CA00011529215076944948,10.27,debit,Restaurants,Discover,,
7/28/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA6QA2E2N3UPR,4.34,debit,Shopping,Discover,,
7/26/17,Transfer from BofA Core Checking,INTERNET PAYMENT - THANK YOU,236.18,credit,Credit Card Payment,Discover,,
7/25/17,Sharetea,SQ *SHARETEA BERKELEY BERKELEY CA00011529215076895,4.25,debit,Restaurants,Discover,,
7/23/17,Lyft,LYFT *RIDE SUN 7PM 855-280-0278 CA,4.27,debit,Transportation,Discover,,
7/22/17,Berkeley Bowl Markesbe,BERKELEY BOWL MARKESBE BERKELEY CA,119.32,debit,Food,Discover,,
7/21/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA3LO6WJNC95K,33.98,debit,Shopping,Discover,,
7/21/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA1PO3QXWVSZV,10.91,debit,Shopping,Discover,,
7/21/17,Indian Flavor Express,INDIAN FLAVOR EXPRESS BERKELEY CA,11.21,debit,Restaurants,Discover,,
7/19/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA4VMUBYG10KX,16.5,debit,Shopping,Discover,,
7/17/17,Comcast,COMCAST CALIFORN CS 1X 800-266-2278 CA92044213G4SK,39.99,debit,Entertainment,Discover,,
7/17/17,Internet Thank You,INTERNET PAYMENT - THANK YOU,375.09,credit,Credit Card Payment,Discover,,
7/14/17,Dyar Restaurant,DYAR RESTAURANT BERKELEY CA,12.41,debit,Restaurants,Discover,,
7/12/17,Amazon,AMAZON.COM AMZN.COM/BILLWA782UN683NBV,40.59,debit,Shopping,Discover,,
7/11/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA6HPQOK7SVC6,65.54,debit,Shopping,Discover,,
7/11/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA4MGGQST9ZQT,53.06,debit,Shopping,Discover,,
7/10/17,Ucsf Health Ca,UCSF HEALTH 415-353-2742 CA,20,debit,Health Care,Discover,,
7/10/17,Heirloom Bakery Cafe,HEIRLOOM BAKERY AND CAFE SOUTH PASADENCA,31.07,debit,Restaurants,Discover,,
7/9/17,BART,BART-CLIPPER SFO CONCRS SAN FRANCISCOCA,20,debit,Transportation,Discover,,
7/8/17,McDonald's,MCDONALD'S F4271 SANTA MONICA CA,8.59,debit,Restaurants,Discover,,
7/7/17,La Transit Mission,LA TRANSIT MISSION STATI SOUTH PASADENCA,3.5,debit,Transportation,Discover,,
7/7/17,La Monarca Bakery,SQ *LA MONARCA BAKE SOUTH PASADENCA,3.8,debit,Restaurants,Discover,,
7/6/17,In-N-Out Burger,IN N OUT BURGER 121 ALHAMBRA CA,6.01,debit,Restaurants,Discover,,
7/6/17,Internet Thank You,INTERNET PAYMENT - THANK YOU,300,credit,Credit Card Payment,Discover,,
7/4/17,BART,BART-CLIPPER BERKELEY BERKELEY CA,20,debit,Transportation,Discover,,
7/4/17,Laval's Pizza,LAVAL'S PIZZA BERKELEY CA,8.75,debit,Restaurants,Discover,,
7/2/17,Lyft,LYFT *RIDE SUN 12PM 855-280-0278 CA,8.74,debit,Transportation,Discover,,
6/27/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA24VWR75N4KI,27.99,debit,Shopping,Discover,,
6/27/17,Amazon,AMAZON.COM AMZN.COM/BILLWA7I39Y1HUYYO,15.46,debit,Shopping,Discover,,
6/25/17,Berkeley Bowl Markesbe,BERKELEY BOWL MARKESBE BERKELEY CA,17.64,debit,Food,Discover,,
6/23/17,BART,BART-CLIPPER MILLBRAE MILLBRAE CA,6,debit,Transportation,Discover,,
6/23/17,Caltrain,CALTRAIN 1019 MOUNT VW MOUNTAIN VIEWCA,5.75,debit,Transportation,Discover,,
6/23/17,Lyft,LYFT *RIDE FRI 3PM 855-280-0278 CA,13.46,debit,Transportation,Discover,,
6/23/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA2ZX5EUH2S8E,31.46,debit,Shopping,Discover,,
6/23/17,Lyft,LYFT *RIDE FRI 10AM 855-280-0278 CA,11.4,debit,Transportation,Discover,,
6/23/17,Caltrain,CALTRAIN 1005 MILLBRAE MILLBRAE CA,5.75,debit,Transportation,Discover,,
6/23/17,Ucb Recreational Sports,UCB RECREATIONAL SPORTS 510-642-7796 CA,20,debit,Entertainment,Discover,,
6/23/17,Lyft,LYFT *RIDE FRI 3PM 855-280-0278 CA,1,debit,Transportation,Discover,,
6/22/17,Ucb Recreational Sports,UCB RECREATIONAL SPORTS 510-642-7796 CA,25,debit,Entertainment,Discover,,
6/19/17,Transfer from BofA Core Checking,INTERNET PAYMENT - THANK YOU,200,credit,Credit Card Payment,Discover,,
6/19/17,Comcast,COMCAST CALIFORN CS 1X 800-266-2278 CA99588705X420,39.99,debit,Entertainment,Discover,,
6/19/17,Amazon,AMAZON.COM AMZN.COM/BILLWA6DF1W9M00R7,28.41,debit,Shopping,Discover,,
6/18/17,Amazon,AMAZON.COM AMZN.COM/BILLWA4A2JXGZK1IV,77.44,credit,Shopping,Discover,,
6/16/17,Amazon,AMAZON.COM AMZN.COM/BILLWA6Y1Q7D4SAI1,162.62,debit,Shopping,Discover,,
6/15/17,Amazon,AMAZON.COM AMZN.COM/BILLWA2QVGO3PKDCQ,19.65,debit,Shopping,Discover,,
6/15/17,Transfer from BofA Core Checking,INTERNET PAYMENT - THANK YOU,149.7,credit,Credit Card Payment,Discover,,
6/14/17,Swy Comm Mkt,SWY COMM MKT 2453 BERKLEY CA,47.72,debit,Food,Discover,,
6/14/17,Berkeley Bowl Markesbe,BERKELEY BOWL MARKESBE BERKELEY CA,21.57,debit,Food,Discover,,
6/14/17,Amazon,AMAZON.COM AMZN.COM/BILLWA3HODLTYZU33,108.96,debit,Shopping,Discover,,
6/14/17,Lyft,LYFT *RIDE WED 11AM 855-280-0278 CA,6.75,debit,Transportation,Discover,,
6/14/17,Lyft,LYFT *RIDE WED 3PM 855-280-0278 CA,4.21,debit,Transportation,Discover,,
6/14/17,Lyft,LYFT *RIDE WED 1PM 855-280-0278 CA,9.68,debit,Transportation,Discover,,
6/14/17,BART,BART-CLIPPER BERKELEY BERKELEY CA,20,debit,Transportation,Discover,,
6/13/17,Muracci Japanese,MURACCI'S JAPANESE BERKELEY CA,27.5,debit,Restaurants,Discover,,
6/12/17,La Burrita,LA BURRITA BERKELEY CA,8.97,debit,Restaurants,Discover,,
6/12/17,Tea Berkeley,SQ *TEA 1 BERKELEY BERKELEY CA,4.25,debit,Restaurantss,Discover,,
6/11/17,Lyft,LYFT *RIDE SUN 2PM 855-280-0278 CA,17.75,debit,Transportation,Discover,,
6/11/17,Lyft,LYFT *RIDE SUN 2PM 855-280-0278 CA,1,debit,Transportation,Discover,,
6/11/17,Lyft,LYFT *RIDE SUN 12PM 855-280-0278 CA,1,debit,Transportation,Discover,,
6/11/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA6M5SUM19NYN,29.99,debit,Shopping,Discover,,
6/11/17,Lyft,LYFT *RIDE SUN 12PM 855-280-0278 CA,23.39,debit,Transportation,Discover,,
6/10/17,Amazon,AMAZON.COM AMZN.COM/BILLWA74UXH40T04K,28.24,debit,Shopping,Discover,,
6/10/17,Transfer from BofA Core Checking,INTERNET PAYMENT - THANK YOU,390.83,credit,Credit Card Payment,Discover,,
6/9/17,Saigon Express,SAIGON EXPRESS BERKELEY CA,7.61,debit,Restaurants,Discover,,
6/8/17,Amazon,AMAZON.COM AMZN.COM/BILLWA5GXP5BJEPS0,15.08,debit,Shopping,Discover,,
6/6/17,Poke Bar,SQ *POKE BAR BERKELEY CA0002305843011121639727,12.56,debit,Restaurants,Discover,,
6/6/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA1DAADMHNM9K,24.2,debit,Shopping,Discover,,
6/4/17,Safeway,SAFEWAY STORE 2870 OAKLAND CA,97.43,debit,Food,Discover,,
6/4/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA7BVHUYST7CN,13.35,debit,Shopping,Discover,,
6/4/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA1NG67M2V3AL,46.92,debit,Shopping,Discover,,
6/2/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA71NOFCR6HK9,13.51,debit,Shopping,Discover,,
6/2/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA61X34NJW6LX,43.39,debit,Shopping,Discover,,
6/1/17,Transfer from BofA Core Checking,INTERNET PAYMENT - THANK YOU,351.22,credit,Credit Card Payment,Discover,,
6/1/17,La Burrita,LA BURRITA BERKELEY CA,8.97,debit,Restaurants,Discover,,
6/1/17,Lyft,LYFT *RIDE THU 6PM 855-280-0278 CA,1,debit,Transportation,Discover,,
6/1/17,Lyft,LYFT *RIDE THU 6PM 855-280-0278 CA,8,debit,Transportation,Discover,,
6/1/17,Swy Comm Mkt,SWY COMM MKT 2453 BERKLEY CA,65.42,debit,Food,Discover,,
5/31/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA594UQY0GQI1,16,debit,Shopping,Discover,,
5/30/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA1TNANE2SRKP,22.95,debit,Shopping,Discover,,
5/30/17,United Airlines,UNITED AIRLINES HOUSTON TX,25,debit,Transportation,Discover,,
5/29/17,Mbta Harvard,MBTA HARVARD CAMBRIDGE MA,9,debit,Transportation,Discover,,
5/29/17,Pleasant Cafe,THE PLEASANT CAFE MAYNARD MA,5,debit,Restaurants,Discover,,
5/29/17,"Wagamama, Inc.","WAGAMAMA, INC. CAMBRIDGE MA",26.5,debit,Restaurants,Discover,,
5/25/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA2ODBI65H03Q,138.07,debit,Shopping,Discover,,
5/24/17,IHOP,IHOP #3580 FRAMINGHAM MA,13,debit,Restaurants,Discover,,
5/23/17,"Mechanica, LLC",ACT*UCB MECHANICAL ENG 877-551-5560 TXQDAXLRWX5132,75,debit,Advertising,Discover,,
5/20/17,Rancatore's Ice Cream,TST*RANCATORES ICE CREAM LEXINGTON MA,3.5,debit,Restaurants,Discover,,
5/19/17,Lemon Grass Thai Cuisine,LEMON GRASS THAI CUISI LEXINGTON MA,13.75,debit,Restaurants,Discover,,
5/18/17,Supercuts,SUPERCUTS #80960 LEXINGTON MA,20,debit,Apparel and Clothing,Discover,,
5/18/17,Transfer from BofA Core Checking,INTERNET PAYMENT - THANK YOU,406.59,credit,Credit Card Payment,Discover,,
5/17/17,Halfway Cafe,HALFWAY CAFE MARLBOROUGH MA,12.3,debit,Restaurants,Discover,,
5/15/17,BART,BART-CLIPPER BERKELEY BERKELEY CA,16,debit,Transportation,Discover,,
5/15/17,Peet's Coffee,PEETS SFO #2 SAN FRANCISCOCA,12.15,debit,Restaurantss,Discover,,
5/14/17,Katsumi Sushi,KATSUMI SUSHI BERKELEY CA,9.25,debit,Restaurants,Discover,,
5/14/17,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,9.05,debit,Restaurants,Discover,,
5/14/17,Laval Pizza,LAVAL'S PIZZA BERKELEY CA,8.75,debit,Restaurants,Discover,,
5/13/17,Lyft,LYFT *RIDE SAT 12PM 855-280-0278 CA,10.5,debit,Transportation,Discover,,
5/13/17,Sq Ation 723 Tea Street,SQ *723 TEA STATION BERKELEY CA0001152921507606480,8.92,debit,Restaurantss,Discover,,
5/13/17,Lyft,LYFT *RIDE SAT 12PM 855-280-0278 CA,5,debit,Transportation,Discover,,
5/11/17,Katsumi Sushi,KATSUMI SUSHI BERKELEY CA,9.25,debit,Restaurants,Discover,,
5/11/17,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,8.05,debit,Restaurants,Discover,,
5/11/17,Sweetheart Cafe,SQ *SWEETHEART CAFE BERKELEY CA0001152921507603685,6.84,debit,Restaurants,Discover,,
5/8/17,Indian Flavor Express,INDIAN FLAVOR EXPRESS BERKELEY CA,12.03,debit,Restaurants,Discover,,
5/7/17,La Val's Pizza,LAVAL'S PIZZA BERKELEY CA,8.75,debit,Restaurants,Discover,,
5/7/17,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,8.54,debit,Restaurants,Discover,,
5/6/17,Comcast,COMCAST CALIFORN CS 1X 800-266-2278 CA9922346462BC,4.98,debit,Entertainment,Discover,,
5/6/17,Tacos Sinaloa Berkeley,TACOS SINALOA BERKELEY BERKELEY CA,6.57,debit,Restaurants,Discover,,
5/5/17,Chipotle,CHIPOTLE 0697 BERKELEY CA,7.81,debit,Restaurants,Discover,,
5/5/17,Jamba Juice,JAMBA JUICE 0150 QSR BERKELEY CA,11.58,debit,Restaurants,Discover,,
5/4/17,Lyft,LYFT *RIDE THU 5PM 855-280-0278 CA,1,debit,Transportation,Discover,,
5/4/17,Lyft,LYFT *RIDE THU 5PM 855-280-0278 CA,8.75,debit,Transportation,Discover,,
5/3/17,Jamba Juice,JAMBA JUICE 0150 QSR BERKELEY CA,6.39,debit,Restaurants,Discover,,
5/2/17,Taco Bell,TACO BELL 032759 BERKELEY CA,2.6,debit,Restaurants,Discover,,
5/2/17,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,9.05,debit,Restaurants,Discover,,
4/30/17,Tacos Sinaloa Berkeley,TACOS SINALOA BERKELEY BERKELEY CA,5.48,debit,Restaurants,Discover,,
4/29/17,Amazon,AMAZON.COM AMZN.COM/BILLWAS4EK3EBONTM,9.79,debit,Shopping,Discover,,
4/29/17,Comcast,COMCAST CALIFORN CS 1X 800-266-2278 CA9850271111ZW,50,debit,Entertainment,Discover,,
4/28/17,Amazon,AMAZON.COM AMZN.COM/BILLWAHQD5R423MC7,49.15,debit,Shopping,Discover,,
4/27/17,Indian Flavor Express,INDIAN FLAVOR EXPRESS BERKELEY CA,12.03,debit,Restaurants,Discover,,
4/27/17,Amazon,AMAZON.COM AMZN.COM/BILLWAMTA6GK8OULQ,9.52,debit,Shopping,Discover,,
4/25/17,Tea Cory Hall,SQ *TEA 1 - CORY HALL BERKELEY CA00011529215075840,4.25,debit,Restaurants,Discover,,
4/24/17,Internet Thank You,INTERNET PAYMENT - THANK YOU,389.28,credit,Credit Card Payment,Discover,,
4/23/17,Chengdu Style Restaurant,CHENGDU STYLE RESTAURANT BERKELEY CA,45.02,debit,Restaurants,Discover,,
4/22/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAH8L7Y727TPF,21.84,debit,Shopping,Discover,,
4/22/17,Boba Ninja Berkerley,SQ *BOBA NINJA BERKERLEY CA0001152921507580687706,9.23,debit,Restaurants,Discover,,
4/22/17,Famous Bao,FAMOUS BAO BERKELEY CA,10.62,debit,Restaurants,Discover,,
4/20/17,Boba Ninja Berkerley,SQ *BOBA NINJA BERKERLEY CA0001152921507577427474,6.78,debit,Restaurants,Discover,,
4/19/17,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,9.05,debit,Restaurants,Discover,,
4/16/17,Katsumi Sushi,KATSUMI SUSHI BERKELEY CA,9.25,debit,Restaurants,Discover,,
4/16/17,Ucb Housing Dining,UCB HOUSING&DINING SVCS 510-643-6955 CA,20,debit,Transfer for Cash Spending,Discover,,
4/16/17,Sweetheart Cafe,SQ *SWEETHEART CAFE BERKELEY CA0001152921507571993,3.42,debit,Restaurants,Discover,,
4/14/17,Tea Cory Hall,SQ *TEA 1 - CORY HALL BERKELEY CA00023058430110538,4,debit,Restaurants,Discover,,
4/13/17,Amazon,AMAZON.COM AMZN.COM/BILLWAWNOHG4EFLKL,16.35,debit,Shopping,Discover,,
4/12/17,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,9.05,debit,Restaurants,Discover,,
4/9/17,Boba Ninja Berkerley,SQ *BOBA NINJA BERKERLEY CA0001152921507563706973,2.62,debit,Restaurants,Discover,,
4/7/17,Ation 723 Tea Street,723 TEA STATION BERKELEY CA,8.92,debit,Restaurants,Discover,,
4/6/17,Walgreens,WALGREENS #10045 BERKELEY CA,31.67,credit,Pharmacy,Discover,,
4/5/17,Indian Flavor Express,INDIAN FLAVOR EXPRESS BERKELEY CA,11.21,debit,Restaurants,Discover,,
4/5/17,Sharetea Berkeley,SQ *SHARETEA BERKELEY BERKELEY CA00023058430110417,4.25,debit,Restaurants,Discover,,
4/3/17,Tea Cory Hall,SQ *TEA 1 - CORY HALL BERKELEY CA00011529215075559,4.25,debit,Restaurants,Discover,,
4/2/17,Diyar Mediterranean Cusi,DIYAR MEDITERRANEAN CUSI BERKELEY CA,8.73,debit,Restaurants,Discover,,
4/2/17,Walgreens,WALGREENS #10045 BERKELEY CA,58.83,debit,Food,Discover,,
4/1/17,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,9.05,debit,Restaurants,Discover,,
4/1/17,Ucafe Berkeley,"SQ *UCAFE, BERKELEY BERKELEY CA0001152921507554134",3.15,debit,Restaurants,Discover,,
3/31/17,Tasty Pot,TASTY POT BERKELEY CA,86.4,debit,Restaurants,Discover,,
3/29/17,La Transit Hollyw,LA TRANSIT HOLLYW VINE LOS ANGELES CA,2.75,debit,Transportation,Discover,,
3/28/17,Lal Mirch,LAL MIRCH AGOURA HILLS CA,40.82,debit,Restaurants,Discover,,
3/26/17,Taco Libre La,"TACO LIBRE LA, LLC BEVERLY HILLSCA",12.62,debit,Restaurants,Discover,,
3/26/17,Pho Viet,PHO VIET CALI RESEDA CA,15.77,debit,Restaurants,Discover,,
3/25/17,Hooters,HOOTERS OF HOLLYWOOD HOLLYWOOD CA,16.47,debit,Restaurants,Discover,,
3/25/17,Starbucks,STARBUCKS STORE 15062 LOS ANGELES CA01APS7KSKOGO71,4.75,debit,Restaurantss,Discover,,
3/25/17,Chinese Express,CHINESE EXPRESS BERKELEY CA,11.42,debit,Restaurants,Discover,,
3/24/17,BART,BART-CLIPPER BERKELEY BERKELEY CA,14,debit,Transportation,Discover,,
3/21/17,Internet Thank You,INTERNET PAYMENT - THANK YOU,159.88,credit,Credit Card Payment,Discover,,
3/21/17,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,9.05,debit,Restaurants,Discover,,
3/20/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAK9VAZNHPDEW,17.99,debit,Shopping,Discover,,
3/19/17,Ucb Housing Dining,UCB HOUSING&DINING SVCS 510-643-6955 CA,20,debit,Transfer for Cash Spending,Discover,,
3/19/17,Pp Creamberkel,PP*CREAMBERKEL SAN JOSE CA,3.99,debit,Restaurants,Discover,,
3/16/17,Indian Flavor Express,INDIAN FLAVOR EXPRESS BERKELEY CA,11.21,debit,Restaurants,Discover,,
3/16/17,Sweetheart Cafe,SQ *SWEETHEART CAFE BERKELEY CA0001152921507533290,3.42,debit,Restaurants,Discover,,
3/15/17,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,9.05,debit,Restaurants,Discover,,
3/13/17,Delta,DELTA AIR LINES DELTA.COM CA,68.2,debit,Transportation,Discover,,
3/12/17,Boba Ninja Berkerley,SQ *BOBA NINJA BERKERLEY CA0001152921507529219703,6.61,debit,Restaurants,Discover,,
3/10/17,Ucafe Berkeley,"SQ *UCAFE, BERKELEY BERKELEY CA0002305843011009688",3.15,debit,Restaurants,Discover,,
3/7/17,Amazon,AMAZON.COM AMZN.COM/BILLWAHS6MLV9V90Y,10,debit,Shopping,Discover,,
2/26/17,Ucb Housing Dining,UCB HOUSING&DINING SVCS 510-643-6955 CA,20,debit,Transfer for Cash Spending,Discover,,
2/26/17,Internet Thank You,INTERNET PAYMENT - THANK YOU,374.19,credit,Credit Card Payment,Discover,,
2/25/17,Tea Berkeley,SQ *TEA 1 BERKELEY BERKELEY CA00023058430109968479,4.25,debit,Restaurants,Discover,,
2/21/17,Discovery Investment,AF* DISCOVERY INVESTM. 866-648-1536 CA,25,debit,Mortgage & Rent,Discover,,
2/21/17,Ation 723 Tea Street,723 TEA STATION BERKELEY CA,7.65,debit,Restaurants,Discover,,
2/21/17,Discovery Investment,AF* DISCOVERY INVESTM. 866-648-1536 CA,25,debit,Mortgage & Rent,Discover,,
2/19/17,Brazil Cafe,BRAZIL CAFE BERKELEY CA,10.91,debit,Restaurants,Discover,,
2/18/17,Indian Flavor Express,INDIAN FLAVOR EXPRESS BERKELEY CA,11.21,debit,Restaurants,Discover,,
2/17/17,Tea Cory Hall,SQ *TEA 1 - CORY HALL BERKELEY CA00023058430109898,4.25,debit,Restaurants,Discover,,
2/16/17,Amazon,AMAZONPRIME MEMBERSHIP AMZN.COM/PRMEWAYHA3DI22MZT,49,debit,Shopping,Discover,,
2/14/17,Sweetheart Cafe,SQ *SWEETHEART CAFE BERKELEY CA0001152921507502646,3.42,debit,Restaurants,Discover,,
2/14/17,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,8.54,debit,Restaurants,Discover,,
2/14/17,U Cha,U CHA BERKELEY CA,4.77,debit,Restaurants,Discover,,
2/12/17,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,8.54,debit,Restaurants,Discover,,
2/10/17,Koja Kitchen,SQ *KOJA KITCHEN BERKELEY CA,12.18,debit,Restaurants,Discover,,
2/10/17,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAQEDZANLD629,12.87,debit,Shopping,Discover,,
2/7/17,Amazon,AMAZON PICKUP POINTS 877-345-0975 WAJQ8L5J02K1G,24.79,credit,Shopping,Discover,,
2/5/17,Badminton Alley,BADMINTON ALLEY 402-935-7733 CA,97.45,debit,Sporting Goods,Discover,,
2/4/17,Pp Creamberkel,PP*CREAMBERKEL SAN JOSE CA,3.99,debit,Restaurants,Discover,,
1/30/17,Ucb Housing Dining,UCB HOUSING&DINING SVCS 510-643-6955 CA,20,debit,Transfer for Cash Spending,Discover,,
1/27/17,Tea Cory Hall,SQ *TEA 1 - CORY HALL BERKELEY CA00023058430109710,4.25,debit,Restaurants,Discover,,
1/25/17,Katsumi Sushi,KATSUMI SUSHI BERKELEY CA,9.25,debit,Restaurants,Discover,,
1/23/17,Ucb Recreational Sports,UCB RECREATIONAL SPORTS 510-642-7796 CA,70,debit,Tuition,Discover,,
1/21/17,Pasta Moto,PASTA MOTO SAN FRANCISCOCA,10.7,debit,Restaurants,Discover,,
12/23/16,Internet Thank You,INTERNET PAYMENT - THANK YOU,254.9,credit,Credit Card Payment,Discover,,
12/20/16,Tree Top Thai,TREE TOP THAI CUISINE WALTHAM MA,12.5,debit,Restaurants,Discover,,
